ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC;CHANGEMENT_STATUT
"30";"319883";"319883";"Alona azorica";"Frenzel & Alonso, 1988";"";"";"ES";"Chydoridae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"961314";"639925";"Alona elegans";"Kurz, 1875";"";"";"ES";"Chydoridae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"994923";"240695";"Alona nuragica";"Margaritora, 1971";"";"";"ES";"Chydoridae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"826747";"240822";"Antrocamptus catherinae";"Chappuis & Rouch, 1960";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240823";"240823";"Antrocamptus chappuisi";"Rouch, 1970";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240824";"240824";"Antrocamptus coiffaiti";"Chappuis, 1956";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240825";"240825";"Antrocamptus longifurcatus";"Rouch, 1970";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240826";"240826";"Antrocamptus stygius";"Rouch, 1980";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"18437";"18437";"Austropotamobius pallipes";"(Lereboullet, 1858)";"Écrevisse à pattes blanches";"";"ES";"Astacidae";"";"";"VU";"B2ab(ii,iii,iv)";"";"2012";"EN";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"216430";"216430";"Bathynella pyrenaica";"Delamare, Deboutteville & Chappuis, 1954";"";"";"ES";"Bathynellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"244568";"244568";"Bogidiella albertimagni";"Hertzog, 1933";"";"";"ES";"Bogidiellidae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
