ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC;CHANGEMENT_STATUT
"30";"240765";"240765";"Graeteriella boui";"Lescher-Moutoué, 1974";"";"";"ES";"Cyclopidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240766";"240766";"Graeteriella brehmi";"Lescher-Moutoué, 1968";"";"";"ES";"Cyclopidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240769";"240769";"Graeteriella gelyensis";"Lescher-Moutoué, 1978";"";"";"ES";"Cyclopidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240770";"240770";"Graeteriella laisi";"(Kiefer, 1936)";"";"";"ES";"Cyclopidae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240767";"240767";"Graeteriella rouchi";"Lescher-Moutoué, 1968";"";"";"ES";"Cyclopidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240771";"240771";"Graeteriella vandeli";"Lescher-Moutoué, 1969";"";"";"ES";"Cyclopidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"544397";"240731";"Hemidiaptomus amblyodon";"(Marenzeller, 1873)";"";"";"ES";"Diaptomidae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240733";"240733";"Hemidiaptomus ingens";"(Gurney, 1909)";"";"";"ES";"Diaptomidae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"544406";"240734";"Hemidiaptomus roubaui";"(Richard, 1888)";"";"";"ES";"Diaptomidae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"216445";"216445";"Hexabathynella knoepffleri";"(Coineau, 1965)";"";"";"ES";"Parabathynellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"241066";"241066";"Ilyocypris lacustris";"Kaufmann, 1900";"";"";"ES";"Cyprididae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"250298";"250298";"Imnadia yeyetta";"Hertzog, 1935";"";"";"ES";"Limnadiidae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"244577";"244577";"Ingolfiella catalanensis";"Coineau, 1963";"";"";"ES";"Ingolfiellidae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240764";"240764";"Kieferiella delamarei";"(Lescher-Moutoué, 1971)";"";"";"ES";"Cyclopidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"250291";"250291";"Linderiella massaliensis";"Thiéry & Champeau, 1988";"";"";"ES";"Chirocephalidae";"Métropole";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240674";"240674";"Macrothrix rosea";"(Jurine, 1820)";"";"";"ES";"Macrothricidae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240761";"240761";"Megacyclops brachypus";"Kiefer, 1954";"";"";"ES";"Cyclopidae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"216438";"216438";"Meridiobathynella rouchi";"Serban, Coineau & Delamare Deboutteville, 1971";"";"";"ES";"Bathynellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"639903";"639903";"Michelicaris micheli";"(Chappuis & Rouch, 1959)";"";"";"ES";"Parastenocarididae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240971";"240971";"Microcharon angelieri";"Coineau, 1963";"";"";"ES";"Lepidocharontidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240972";"240972";"Microcharon boui";"Coineau, 1968";"";"";"ES";"Lepidocharontidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240973";"240973";"Microcharon doueti";"Coineau, 1968";"";"";"ES";"Lepidocharontidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240974";"240974";"Microcharon juberthiei";"Coineau, 1968";"";"";"ES";"Lepidocharontidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240977";"240977";"Microcharon sisyphus";"Chappuis & Delamare-Deboutteville, 1954";"";"";"ES";"Lepidocharontidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240997";"240997";"Mixtacandona coineauae";"Rogulj & Danielopol, 1993";"";"";"ES";"Candonidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240998";"240998";"Mixtacandona juberthieae";"Danielopol, 1978";"";"";"ES";"Candonidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240872";"240872";"Moraria catalana";"Chappuis & Kiefer, 1952";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"244547";"244547";"Niphargus balazuci";"Schellenberg, 1951";"";"";"ES";"Niphargidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"244548";"244548";"Niphargus boulangei";"Wichers, 1964";"";"";"ES";"Niphargidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"244549";"244549";"Niphargus burgundus";"Graf & Straskraba, 1968";"";"";"ES";"Niphargidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"622904";"622904";"Niphargus corsicanus";"Schellenberg, 1950";"";"";"ES";"Niphargidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"244554";"244554";"Niphargus kieferi";"Schellenberg, 1936";"";"";"ES";"Niphargidae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"244557";"244557";"Niphargus nicaensis";"Isnard, 1916";"";"";"ES";"Niphargidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"244565";"244565";"Niphargus vandeli";"Barbe, 1961";"";"";"ES";"Niphargidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"320208";"320208";"Nitocrella beatricis";"Cottarelli & Bruno, 1993";"";"";"ES";"Ameiridae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240814";"240814";"Nitocrella delayi";"Rouch, 1970";"";"";"ES";"Ameiridae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240815";"240815";"Nitocrella dussarti";"Chappuis & Rouch, 1959";"";"";"ES";"Ameiridae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240816";"240816";"Nitocrella gracilis";"Chappuis, 1955";"";"";"ES";"Ameiridae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240817";"240817";"Nitocrella omega";"Hertzog, 1936";"";"";"ES";"Ameiridae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240818";"240818";"Nitocrellopsis elegans";"(Chappuis & Rouch, 1959)";"";"";"ES";"Ameiridae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"216446";"216446";"Paraiberobathynella fagei";"(Delamare Deboutteville & Angelier, 1950)";"";"";"ES";"Parabathynellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"216439";"216439";"Parameridiobathynella gardensis";"Serban & Leclerc, 1984";"";"";"ES";"Bathynellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240919";"240919";"Parastenocaris dentulatus";"Chappuis & Rouch, 1959";"";"";"ES";"Parastenocarididae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"827167";"240925";"Parastenocaris mangini";"Rouch, 1992";"";"";"ES";"Parastenocarididae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240932";"240932";"Parastenocaris vandeli";"Rouch, 1988";"";"";"ES";"Parastenocarididae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"319873";"319873";"Pleuroxus letourneuxi";"(Richard, 1888)";"";"";"ES";"Chydoridae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240947";"240947";"Proasellus aquaecalidae";"(Racovitza, 1922)";"";"";"ES";"Asellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240951";"240951";"Proasellus burgundus";"Henry & Magniez, 1969";"";"";"ES";"Asellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240953";"240953";"Proasellus chauvini";"Henry & Magniez, 1978";"";"";"ES";"Asellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"432575";"432575";"Proasellus claudei";"Henry & Magniez, 1996";"";"";"ES";"Asellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240959";"240959";"Proasellus racovitzai";"Henry & Magniez, 1972";"";"";"ES";"Asellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240960";"240960";"Proasellus rouchi";"Henry, 1980";"";"";"ES";"Asellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"320657";"320657";"Proasellus slavus";"(Remy, 1948)";"";"";"ES";"Asellidae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240961";"240961";"Proasellus spelaeus";"(Racovitza, 1922)";"";"";"ES";"Asellidae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240965";"240965";"Proasellus vandeli";"Magniez & Henry, 1969";"";"";"ES";"Asellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240892";"240892";"Pseudectinosoma janineae";"Galassi, Dole-Olivier & De Laurentiis, 1999";"";"";"ES";"Ectinosomatidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240893";"240893";"Pseudectinosoma vandeli";"(Rouch, 1969)";"";"";"ES";"Ectinosomatidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"216440";"216440";"Pseudobathynella magniezi";"Serban, Coineau & Delamare Deboutteville, 1971";"";"";"ES";"Bathynellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240989";"240989";"Pseudocandona delamarei";"Danielopol, 1978";"";"";"ES";"Candonidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"432577";"432577";"Pseudocandona marmonieri";"Namiotko & Danielopol, 2004";"";"";"ES";"Candonidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240994";"240994";"Pseudocandona rouchi";"Danielopol, 1973";"";"";"ES";"Candonidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"241032";"241032";"Psychrodromus betharrami";"Baltanas, Danielopol, Roca & Marmonier, 1993";"";"";"ES";"Cyprididae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240986";"240986";"Schellencandona simililampadis";"(Danielopol, 1978)";"";"";"ES";"Candonidae";"Métropole";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240728";"17817";"Spelaeodiaptomus rouchi";"Dussart, 1970";"";"";"ES";"Diaptomidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240748";"240748";"Speocyclops anomalus";"Chappuis & Kiefer, 1952";"";"";"ES";"Cyclopidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240749";"240749";"Speocyclops arregladensis";"Chappuis & Kiefer, 1952";"";"";"ES";"Cyclopidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240750";"240750";"Speocyclops castereti";"Lindberg, 1954";"";"";"ES";"Cyclopidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240751";"240751";"Speocyclops gallicus";"Chappuis & Kiefer, 1952";"";"";"ES";"Cyclopidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240752";"240752";"Speocyclops kieferi";"Lescher-Moutoué, 1968";"";"";"ES";"Cyclopidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240753";"240753";"Speocyclops orcinus";"Kiefer, 1937";"";"";"ES";"Cyclopidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"320014";"320014";"Speocyclops proserpinae";"Kiefer, 1937";"";"";"ES";"Cyclopidae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240755";"240755";"Speocyclops sisyphus";"Kiefer, 1937";"";"";"ES";"Cyclopidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"241060";"241060";"Sphaeromicola cebennica";"Remy, 1948";"";"";"ES";"Entocytheridae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"241061";"241061";"Sphaeromicola hamigera";"Remy, 1946";"";"";"ES";"Entocytheridae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"640042";"640042";"Stammericaris stammeri";"(Chappuis, 1937)";"";"";"ES";"Parastenocarididae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"216441";"216441";"Vandelibathynella vandeli";"(Delamare Deboutteville & Chappuis, 1954)";"";"";"ES";"Bathynellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"216442";"216442";"Vejdovskybathynella balazuci";"Serban & Leclerc, 1984";"";"";"ES";"Bathynellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"216443";"216443";"Vejdovskybathynella espattyensis";"Serban & Leclerc, 1984";"";"";"ES";"Bathynellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"216444";"216444";"Vejdovskybathynella leclerci";"Serban, 1989";"";"";"ES";"Bathynellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"35";"250284";"250284";"Branchipus schaefferi";"Fischer von Waldheim, 1834";"";"";"ES";"Branchipodidae";"";"";"NT";"pr. B2b(i)";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"35";"240738";"240738";"Diaptomus cyaneus";"Gurney, 1909";"";"";"ES";"Diaptomidae";"";"";"NT";"pr. D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"35";"241229";"241229";"Echinogammarus feminatus";"Pinkster, 1973";"";"";"ES";"Gammaridae";"Métropole";"";"NT";"pr. B2a";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"35";"250290";"250290";"Eubranchipus grubii";"(Dybowski, 1860)";"";"";"ES";"Chirocephalidae";"";"";"NT";"pr. B2a";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"35";"216434";"216434";"Gallobathynella coiffaiti";"(Delamare Deboutteville, 1961)";"";"";"ES";"Bathynellidae";"Métropole";"Espèce souterraine";"NT";"pr. D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"35";"216437";"216437";"Gallobathynella tarissei";"Serban, Coineau & Delamare Deboutteville, 1971";"";"";"ES";"Bathynellidae";"Métropole";"Espèce souterraine";"NT";"pr. D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
